Provincia,Departamento,Cant_EE,Cant_Biblioteca_Popular,Población
Buenos Aires,Rojas,31,1,25619
Buenos Aires,Coronel Dorrego,30,3,15795
Buenos Aires,Salto,30,2,39257
Jujuy,Santa Bárbara,30,2,20497
Neuquén,Huiliches,30,1,20853
Catamarca,Paclín,29,2,4696
Buenos Aires,Marcos Paz,29,1,64761
Jujuy,Tilcara,29,1,14621
San Juan,Albardón,29,1,31281
Buenos Aires,Daireaux,29,0,18328
Buenos Aires,Exaltación de la Cruz,29,0,40036
Buenos Aires,General Belgrano,29,0,20674
Corrientes,Mburucuyá,29,0,11541
Catamarca,Fray Mamerto Esquiú,28,4,14624
San Juan,San Martín,28,3,15037
Buenos Aires,General Viamonte,28,2,22530
Buenos Aires,Rauch,28,2,16491
Buenos Aires,Villa Gesell,28,2,37325
Buenos Aires,Tapalqué,28,1,10695
Chaco,Fray Justo Santa María de Oro,28,1,10643
Salta,San Carlos,28,1,7779
Chaco,General Donovan,27,2,15061
Buenos Aires,General Alvear,27,1,10150
Buenos Aires,Roque Pérez,27,1,13901
Salta,Chicoana,27,0,24715
San Juan,Angaco,27,0,10172
La Pampa,Rancul,26,6,11090
Buenos Aires,Tornquist,26,4,14591
Neuquén,Chos Malal,26,4,18289
Neuquén,Minas,26,3,9267
San Luis,Gobernador Dupuy,26,2,14334
La Rioja,General Felipe Varela,26,1,11371
La Rioja,Ángel Vicente Peñaloza,26,1,3184
Buenos Aires,General Paz,26,0,14141
Jujuy,Santa Catalina,26,0,2641
La Pampa,Chapaleufú,25,5,12277
San Juan,Iglesia,25,2,8826
Buenos Aires,General Juan Madariaga,25,1,22566
La Rioja,Arauco,25,1,16251
Santiago del Estero,Sarmiento,25,0,5034
Neuquén,Aluminé,24,3,10173
Buenos Aires,Benito Juárez,24,1,21185
Chaco,Presidencia de la Plaza,24,1,13938
Córdoba,Minas,24,0,4855
Buenos Aires,Monte,23,2,24616
Corrientes,Itatí,23,1,11946
Santa Cruz,Lago Argentino,23,1,25384
Córdoba,Pocho,23,0,5070
Salta,Cachi,23,0,8928
La Pampa,Atreucó,22,5,11053
Buenos Aires,General Pinto,22,4,12842
Buenos Aires,Leandro N. Alem,22,3,17153
Buenos Aires,Alberti,22,2,12906
Buenos Aires,General Arenales,22,2,16231
Jujuy,Tumbaya,22,2,5298
Buenos Aires,Punta Indio,22,1,12161
Corrientes,General Alvear,22,1,9051
Chaco,1º de Mayo,22,0,14265
Santiago del Estero,Aguirre,22,0,8959
Buenos Aires,Capitán Sarmiento,21,1,15882
Buenos Aires,Carmen de Areco,21,1,17345
Buenos Aires,Laprida,21,1,11496
Río Negro,Pichi Mahuida,21,1,16493
Salta,Molinos,21,1,5808
Santiago del Estero,Rivadavia,21,1,5314
La Pampa,Puelén,21,0,11636
Chubut,Gaiman,20,3,12505
Jujuy,Susques,20,2,3966
Río Negro,Pilcaniyeu,20,2,9309
Buenos Aires,Colón,20,1,27406
Buenos Aires,Rivadavia,20,1,19735
Chaco,2 de Abril,20,1,8310
Neuquén,Añelo,20,1,18150
Neuquén,Los Lagos,20,1,15502
Santiago del Estero,Belgrano,20,1,10809
Mendoza,La Paz,20,0,12018
Buenos Aires,Guaminí,19,5,11662
La Pampa,Guatraché,19,5,9397
Neuquén,Ñorquín,19,2,5572
Buenos Aires,General La Madrid,19,1,11535
Buenos Aires,General Las Heras,19,1,17980
Chubut,Río Senguer,19,1,6347
Salta,Cafayate,19,1,17822
La Pampa,Quemú Quemú,18,4,8404
La Pampa,Loventué,18,3,9243
Buenos Aires,Pinamar,18,2,39224
Chaco,General Belgrano,18,1,12807
Neuquén,Picunches,18,1,8471
Jujuy,Rinconada,18,0,1797
Río Negro,El Cuy,17,2,6960
Salta,La Caldera,17,2,12246
Chubut,Sarmiento,17,1,14477
La Rioja,San Blas de Los Sauces,17,1,4306
Neuquén,Loncopué,17,1,7696
Río Negro,9 de Julio,17,0,3682
La Rioja,Castro Barros,16,4,5810
Buenos Aires,Adolfo Gonzales Chaves,16,2,12847
Buenos Aires,San Cayetano,16,2,8918
Buenos Aires,General Guido,16,1,3157
Buenos Aires,Maipú,16,1,11253
La Pampa,Toay,16,1,17927
Chaco,Libertad,16,0,13775
La Pampa,Hucal,15,4,7713
Buenos Aires,Pila,15,0,4615
Santa Cruz,Corpen Aike,15,0,15035
Buenos Aires,Hipólito Yrigoyen,14,1,10581
Buenos Aires,Suipacha,14,1,11736
Río Negro,Valcheta,14,1,4300
Buenos Aires,Florentino Ameghino,14,0,10759
Buenos Aires,Lezama,14,0,6170
Jujuy,Valle Grande,14,0,2490
La Pampa,Catriló,13,3,8225
Chubut,Tehuelches,13,2,5947
Buenos Aires,Castelli,13,1,9551
Buenos Aires,Tres Lomas,13,1,9090
Neuquén,Catán Lil,13,1,2641
Río Negro,Conesa,13,1,7398
Salta,Los Andes,13,1,7182
La Rioja,Independencia,13,0,2399
Salta,Guachipas,13,0,3491
Santiago del Estero,Mitre,13,0,1440
La Pampa,Trenel,12,2,5637
Río Negro,Ñorquinco,12,2,1452
Santa Cruz,Lago Buenos Aires,12,1,12584
Chaco,Tapenagá,12,0,4051
Salta,La Candelaria,11,2,7182
Buenos Aires,Pellegrini,11,1,7112
Chubut,Languiñeo,11,1,2862
Salta,La Poma,11,1,1789
San Juan,9 de Julio,11,1,12498
Catamarca,Antofagasta de la Sierra,11,0,1822
Salta,La Viña,11,0,8888
Neuquén,Collón Curá,10,1,4832
Neuquén,Picún Leufú,10,1,5087
Chubut,Gastre,10,0,1181
Santa Cruz,Río Chico,9,2,6271
