id_establecimiento,id_departamento,jardin_infantes,primario,secundario
1542,02110,,1,
1543,02114,,,
1544,02110,1,,
1546,02111,,1,
1547,02111,1,,
1548,02111,1,,
1549,02111,1,,
1550,02110,1,,
1551,02111,1,1,1
1552,02115,1,,
1553,02115,1,,
1554,02115,1,,
1555,02105,,1,
1556,02110,,1,
1557,02110,,1,
1558,02109,,1,
1560,02113,,1,
1561,02113,1,,
1562,02111,,,
1564,02104,,,1
1565,02104,1,1,1
1566,02110,1,1,1
1567,02110,,1,
1568,02110,,1,
1569,02109,,1,
1570,02104,,1,
1571,02104,1,1,
1573,02104,,1,
1574,02107,,1,
1575,02107,1,,
1576,02107,1,1,1
1577,02107,,1,
1578,02104,,1,
1581,02113,1,1,1
1582,02114,1,1,1
1583,02115,,,1
1585,02112,1,,
1586,02112,1,,
1587,02112,1,,
1588,02104,1,1,1
1589,02104,,,1
1590,02111,1,1,1
1591,02101,1,,
1592,02101,,1,
1594,02113,,1,1
1595,02113,1,,
1596,02101,,,1
1597,02107,1,1,1
1598,02103,,1,1
1600,02110,1,1,1
1601,02106,1,,
1602,02106,1,,
1603,02106,1,,
1604,02112,1,1,1
1606,02102,,1,
1607,02103,,1,
1608,02103,,,1
1610,02102,,1,
1613,02115,,,
1614,02112,,,
1615,02110,,,
1616,02104,1,,
1617,02106,,,
1618,02115,1,,
1619,02112,1,,
1620,02113,1,1,
1621,02113,,,
1622,02112,1,1,
1623,02106,,,
1624,02115,,,
1625,02102,,,
1627,02101,,,
1628,02112,1,1,1
1629,02101,,1,
1630,02104,1,,
1632,02113,1,,
1634,02110,1,1,
1635,02107,1,,
1636,02105,1,1,
1638,02109,1,1,
1639,02112,1,1,
1640,02103,,,1
1643,02101,,,
1644,02101,1,,
1645,02108,,,1
1646,02101,,,
1647,02114,1,,
1648,02114,,,
1649,02113,,,
1650,02104,,1,
1651,02111,,,1
1652,02113,,1,1
1654,02101,,,
1655,02101,,,
1656,02105,,,1
1657,02114,1,1,
1658,02115,1,1,
1660,02108,1,,
1661,02109,1,1,
1662,02111,1,1,
1663,02108,,,1
1665,02106,1,,
1668,02108,,,
1669,02107,,,1
1670,02114,,,
1672,02111,1,,
1673,02104,,1,
1674,02104,,1,
1675,02109,1,,
1720,02115,1,,
1722,02105,1,,
1723,02110,1,,
1724,02103,,,
1725,02103,1,,
1727,02115,,,
1728,02105,1,1,
1729,02102,1,1,
1730,02113,1,1,1
1731,02105,1,1,
1732,02104,,,
1733,02106,,,
1734,02115,1,,
1735,02103,1,1,
1736,02114,1,,
1738,02107,1,1,
1739,02105,,,1
1740,02103,,,
1741,02113,1,,
1742,02112,1,,
1743,02109,1,,
1745,02107,,,1
1746,02107,1,1,
1747,02110,1,1,
1748,02104,,,
1749,02104,1,,
1750,02107,,,
1751,02113,1,,
1753,02109,1,1,
1754,02108,1,1,1
1755,02113,1,1,
1758,02107,,,
1759,02103,,,
1760,02115,,,
1761,02103,,,
1762,02101,,,
1784,02114,1,,
1787,02109,1,,
1789,02103,,,
1791,02101,,,
1796,02101,,,1
1800,02113,,,1
1813,02104,,,1
1816,02109,,,1
1821,02106,,,
1830,02103,,,
1839,02105,,,
1848,02104,,,1
1849,02107,,,1
1850,02105,,,
1851,02110,,,1
1852,02113,,,1
1853,02105,1,,
1854,02114,1,,
1855,02111,1,,
1856,02105,1,,
1857,02105,1,,
1858,02112,1,,
1859,02112,1,,
1860,02101,1,,
1861,02114,,,
1862,02106,1,1,
1863,02108,1,,
1864,02114,,,
1865,02103,,,
1866,02101,,,
1867,02112,,,
1868,02101,,,
1869,02102,,,
1870,02113,,,
1871,02102,,,
1872,02115,1,,
1874,02113,1,1,
1876,02113,,,
1877,02103,1,,
1878,02107,1,1,1
1880,02103,,,
1881,02103,,,
1882,02110,,,
1883,02101,,,
1884,02103,1,1,1
1885,02114,1,,
1886,02113,,,
1887,02107,,,
1889,02108,,1,
1890,02108,1,,
1891,02108,,1,
1892,02108,1,1,1
1916,02114,1,1,
1917,02114,1,,
1918,02101,,,
1919,02107,,,
1920,02101,,,
